Sun Jan 22 21:45:46 -03 2023 2: It is dead
Sun Jan 22 21:45:47 -03 2023 2: It is dead
Sun Jan 22 21:45:49 -03 2023 2: It is dead
Sun Jan 22 21:45:50 -03 2023 2: It is dead
Sun Jan 22 21:45:51 -03 2023 2: It is dead
Sun Jan 22 21:45:52 -03 2023 2: It is dead
Sun Jan 22 21:45:53 -03 2023 2: It is dead
Sun Jan 22 21:45:54 -03 2023 2: It is dead
Sun Jan 22 21:45:55 -03 2023 2: It is dead
Sun Jan 22 21:49:29 -03 2023 2: It is dead
Sun Jan 22 21:49:30 -03 2023 2: It is dead
Sun Jan 22 21:49:31 -03 2023 2: It is dead
Sun Jan 22 21:49:32 -03 2023 2: It is dead
Sun Jan 22 21:49:34 -03 2023 2: It is dead
Sun Jan 22 21:49:35 -03 2023 2: It is dead
Sun Jan 22 21:49:36 -03 2023 2: It is dead
Sun Jan 22 21:49:37 -03 2023 2: It is dead
Sun Jan 22 21:49:38 -03 2023 2: It is dead
Sun Jan 22 21:49:39 -03 2023 2: It is dead
Sun Jan 22 21:49:40 -03 2023 2: It is dead
Sun Jan 22 21:49:41 -03 2023 2: It is dead
Sun Jan 22 22:45:22 -03 2023 3: File pid.txt not found
Sun Jan 22 22:55:08 -03 2023 3: File pid.txt not found
Sun Jan 22 22:55:16 -03 2023 3: File pid.txt not found
Sun Jan 22 22:56:17 -03 2023 3: File pid.txt not found
Sun, Jan 22, 2023 11:06:40 PM 1: It is dead
Sun, Jan 22, 2023 11:06:41 PM 1: It is dead
Sun, Jan 22, 2023 11:06:43 PM 1: It is dead
Sun, Jan 22, 2023 11:06:44 PM 1: It is dead
Sun, Jan 22, 2023 11:06:45 PM 1: It is dead
Sun Jan 22 23:07:28 -03 2023 3: File pid.txt not found
Sun Jan 22 23:07:32 -03 2023 3: File pid.txt not found
Sun Jan 22 23:07:50 -03 2023 3: File pid.txt not found
Sun Jan 22 23:08:10 -03 2023 3: File pid.txt not found
Sun Jan 22 23:08:14 -03 2023 3: File pid.txt not found
Sun Jan 22 23:09:02 -03 2023 3: File pid.txt not found
Sun Jan 22 23:09:04 -03 2023 3: File pid.txt not found
Sun Jan 22 23:09:07 -03 2023 3: File pid.txt not found
Sun Jan 22 23:09:49 -03 2023 3: File pid.txt not found
Sun Jan 22 23:09:51 -03 2023 3: File pid.txt not found
Sun Jan 22 23:10:37 -03 2023 3: File pid.txt not found
Sun Jan 22 23:12:19 -03 2023 3: File pid.txt not found
Sun Jan 22 23:12:21 -03 2023 3: File pid.txt not found
Sun Jan 22 23:14:00 -03 2023 3: File pid.txt not found
Sun Jan 22 23:14:03 -03 2023 3: File pid.txt not found
Sun Jan 22 23:14:40 -03 2023 3: File pid.txt not found
Sun Jan 22 23:14:42 -03 2023 3: File pid.txt not found
Sun Jan 22 23:16:31 -03 2023 3: File pid.txt not found
